Age,Years_of_Experience,Job_Title,Department,Education_Level,Location_Tier,Performance_Rating,Certifications,Target_Salary
60,15,HR Specialist,Data & Analytics,Master's,Tier 1,1,4,140425.89
50,6,Engineering Manager,Finance,Bachelor's,Tier 1,4,3,191408.01
36,11,Product Manager,Engineering,Bachelor's,Tier 1,3,2,168598.93
29,2,HR Manager,Finance,Bachelor's,Tier 1,3,4,122103.78
42,4,HR Manager,Finance,Bachelor's,Tier 1,5,0,137873.15
60,5,Lead Data Scientist,Data & Analytics,Master's,Tier 2,2,1,144430.15
40,16,HR Manager,Engineering,Master's,Tier 1,3,0,178806.87
44,16,Marketing Specialist,Data & Analytics,Bachelor's,Tier 2,3,2,115917.95
32,3,HR Specialist,Finance,PhD,Tier 1,3,0,120715.08
32,9,HR Specialist,Human Resources,Bachelor's,Tier 1,2,1,109126.38
45,22,HR Manager,Human Resources,Master's,Tier 1,4,0,212770.32
57,13,Engineering Manager,Data & Analytics,Master's,Tier 3 / Remote,4,0,163632.26
61,31,Lead Data Scientist,Human Resources,Master's,Tier 1,4,2,291227.23
45,10,Senior Software Engineer,Human Resources,Bachelor's,Tier 2,4,3,143357.01
24,4,Marketing Specialist,Data & Analytics,Master's,Tier 1,4,0,122840.24
43,14,Engineering Manager,Human Resources,PhD,Tier 2,4,5,223298.09
23,2,Product Manager,Sales & Marketing,Bachelor's,Tier 1,1,1,124281.05
45,11,Lead Data Scientist,Engineering,PhD,Tier 1,3,0,225789.49
51,21,HR Specialist,Sales & Marketing,Bachelor's,Tier 2,5,5,150837.23
59,29,Sales Executive,Human Resources,Bachelor's,Tier 2,3,0,161299.75
23,0,Engineering Manager,Product,Bachelor's,Tier 2,2,0,117725.9
42,21,Engineering Manager,Human Resources,Master's,Tier 2,2,5,199799.57
54,9,Engineering Manager,Human Resources,Master's,Tier 3 / Remote,5,2,165234.5
33,11,Engineering Manager,Data & Analytics,Bachelor's,Tier 3 / Remote,3,2,139548.57
43,3,Financial Analyst,Sales & Marketing,Bachelor's,Tier 2,2,4,93463.04
46,22,Lead Data Scientist,Finance,Bachelor's,Tier 2,3,1,192158.99
48,23,Sales Executive,Human Resources,Master's,Tier 3 / Remote,2,1,129416.3
49,27,Senior Software Engineer,Engineering,Bachelor's,Tier 2,2,1,176424.62
37,7,Lead Data Scientist,Human Resources,High School,Tier 3 / Remote,4,0,117845.66
36,2,Lead Data Scientist,Finance,Master's,Tier 2,2,1,139584.81
24,2,Product Manager,Human Resources,Bachelor's,Tier 1,3,3,145552.27
58,34,HR Manager,Human Resources,Master's,Tier 2,4,0,217137.71
28,0,HR Specialist,Sales & Marketing,Master's,Tier 2,4,2,84243.4
42,18,Software Engineer,Human Resources,Bachelor's,Tier 2,3,0,128233.57
30,2,HR Specialist,Finance,Bachelor's,Tier 3 / Remote,3,0,64976.13
60,21,Product Manager,Finance,Bachelor's,Tier 1,4,2,213033.15
39,1,Marketing Specialist,Sales & Marketing,Master's,Tier 2,3,2,92071.37
25,3,Senior Software Engineer,Human Resources,Master's,Tier 1,3,2,146884.64
46,4,Senior Software Engineer,Engineering,Master's,Tier 2,3,0,123708.42
35,5,HR Manager,Product,PhD,Tier 2,3,1,142597.39
30,9,Product Manager,Engineering,Bachelor's,Tier 1,5,2,187502.65
47,8,Software Engineer,Sales & Marketing,Master's,Tier 2,5,1,125988.04
23,1,Product Manager,Product,Master's,Tier 2,3,0,124395.31
41,4,Marketing Specialist,Sales & Marketing,Master's,Tier 3 / Remote,3,1,84942.3
49,17,Senior Software Engineer,Data & Analytics,Master's,Tier 3 / Remote,4,3,146737.96
28,6,Lead Data Scientist,Engineering,PhD,Tier 3 / Remote,3,3,160757.28
29,9,Financial Analyst,Human Resources,Master's,Tier 2,3,1,125359.19
56,10,Marketing Specialist,Data & Analytics,Bachelor's,Tier 1,4,1,115475.72
35,0,Product Manager,Sales & Marketing,Master's,Tier 2,5,1,134990.23
38,7,Engineering Manager,Engineering,Master's,Tier 1,2,0,177329.78
57,6,HR Specialist,Finance,Master's,Tier 1,3,4,122847.96
61,7,Senior Software Engineer,Finance,Bachelor's,Tier 1,5,3,171595.67
25,0,Product Manager,Human Resources,Bachelor's,Tier 3 / Remote,5,1,104131.28
23,1,HR Specialist,Engineering,Master's,Tier 3 / Remote,5,2,81821.19
27,5,Sales Executive,Sales & Marketing,High School,Tier 2,2,0,65321.75
25,4,Financial Analyst,Product,Master's,Tier 2,3,5,114431.14
50,15,HR Specialist,Finance,Bachelor's,Tier 1,4,5,149791.41
39,12,Sales Executive,Engineering,Bachelor's,Tier 3 / Remote,2,1,86278.4
47,15,Financial Analyst,Sales & Marketing,Bachelor's,Tier 2,3,2,129346.06
55,13,HR Specialist,Engineering,Bachelor's,Tier 1,5,0,133960.87
31,1,Lead Data Scientist,Finance,Bachelor's,Tier 2,2,4,127155.65
57,33,HR Specialist,Finance,High School,Tier 1,1,3,162930.23
