Age,Years_of_Experience,Target_Salary
50,16,11077.22011373709
36,5,2026.4359919970948
29,29,24396.536448086372
42,36,16681.146049031617
40,0,4342.077525675158
44,8,18302.32434641909
32,37,19785.82572751512
32,27,25036.996554342724
45,3,7186.162036856842
57,30,27153.307971834292
45,30,29134.331338186443
24,28,19832.129758268402
43,23,20649.906567515554
23,15,8443.751759849843
45,24,27039.77177359248
51,36,25020.034844587244
59,7,4292.942049547964
23,12,17488.199615229736
42,26,26528.99375751088
54,10,16824.90425365724
33,31,19995.99081838319
43,29,19258.702644124976
46,1,12523.100942220099
48,9,14214.676001079953
49,31,27922.622427087834
37,12,17877.95203833691
36,34,24487.834145904584
24,9,473.28716741674543
58,37,37142.18392868319
28,19,13354.970494441071
42,2,3372.1110687113587
30,4,1580.3820681450306
39,27,14539.44007838011
25,36,20611.490984995427
46,29,25607.37878617476
35,23,16093.60608785569
30,16,15432.34301323276
47,24,15934.14795229106
23,31,23316.405752693234
41,11,5731.014148870499
49,24,23969.89958286349
28,23,17765.4078637287
29,12,20487.00528385163
56,23,26783.462379311102
35,39,23643.739977964244
38,20,13114.2625421542
57,29,21775.140972877834
25,24,11334.186616942608
23,24,18654.74234890504
27,13,12531.737033546173
25,0,7546.424378600332
50,11,16633.075574637638
39,21,14607.422686732494
47,32,31651.355147766822
55,10,19774.968853461316
31,21,12123.282085463343
57,4,10523.248006079635
35,3,9106.682663132931
52,11,16867.64737745339
36,35,25771.11762274371
29,21,14904.34426985513
35,9,16218.701275256371
44,16,22768.898240089657
42,6,1263.9908156701295
37,16,15419.878067264595
39,26,19112.37669776615
45,20,15516.068347340668
47,18,11868.26642379437
46,0,14118.717317668239
50,18,12090.4140805118
36,30,19981.38964044377
22,26,17735.511946329214
46,20,21397.37559167162
28,15,7725.833141984079
30,18,15997.735832040742
45,32,18421.868484672712
22,33,16580.51329779807
29,17,18076.442940610257
45,17,22567.359177830105
32,0,675.4444921035793
38,28,25417.60686412842
29,16,9024.893878705889
56,34,19542.63284368771
56,25,19459.425415701033
54,13,17685.01984828984
26,22,13214.713793401606
49,12,22034.839987449668
28,30,20843.41571573667
30,8,9583.634312344864
29,28,25421.650508030798
33,34,34838.93164135089
55,15,12478.231534842473
54,10,13948.085261640254
44,5,5455.095141553841
45,2,8013.940963545136
58,34,23235.131825151595
56,32,16143.779352415217
43,23,21377.216822743794
48,39,30065.81309336743
56,23,16545.450053195993
22,20,7808.928312191727
56,14,20504.43923328352
58,35,36588.51539848038
35,21,13637.72064309405
24,36,22188.733171207165
22,37,21183.949730280372
26,34,15325.277460085375
47,19,15503.313023047547
35,8,6417.780079848271
48,1,1291.3429677686117
30,2,3514.121505892739
36,32,29537.676255110688
36,38,28161.40983263823
47,30,28840.253921869597
34,33,20617.858893075045
53,31,27782.597327456886
53,33,32594.680229525016
25,2,4835.432001591313
51,23,19330.341650051163
58,18,16333.905710815907
44,23,20947.15431123296
36,15,14249.26622308006
50,28,16889.52914393819
57,30,24337.626121725778
34,39,32698.699829646266
53,17,20281.73925994268
28,1,1139.2211141215066
43,35,29317.509183807513
49,8,15532.571981944613
23,28,18637.1101483384
27,23,17164.542455071478
49,26,15368.020303736135
49,12,8958.091668344008
41,21,15319.03691117192
51,11,5802.92620097005
32,36,17593.140228482484
49,1,15737.641887748588
46,13,8563.159547191852
54,3,14497.21953790246
22,37,25832.69421616456
48,24,18664.218825968775
34,10,14621.729211979618
24,24,24604.0440317514
27,26,23351.841649972313
29,1,9267.909099081156
48,35,35828.48281162347
30,7,12846.09501566591
58,3,17286.54430681681
54,19,20276.53108866798
45,20,26896.999806787215
36,17,16894.175291891224
53,33,21604.464683340422
53,16,14227.477161937666
45,12,15421.483791294533
33,9,12297.629518743484
23,23,13611.640692026273
24,5,11339.271511755785
58,29,18239.754563327613
38,27,13379.072487977803
23,39,19483.969556900847
23,10,14085.614012298509
49,32,24896.220607036386
44,32,16835.286270954635
58,38,31047.72671686341
53,6,9095.672162034785
54,39,22558.66494142229
22,5,12021.636651999803
40,22,17376.55380331565
23,1,11487.782729717435
47,7,6798.738184713968
53,20,12928.79907209058
27,17,19134.02620644873
53,29,16316.798458191328
25,7,7517.5577413784395
32,32,30582.073490491523
38,22,22264.58388646767
59,17,27414.544823583252
45,5,4593.847515362093
26,26,16843.603084524308
55,26,18998.41028185199
27,7,2810.0043974473547
43,37,32680.675797864376
32,1,81.69735725618466
37,35,25101.168458794007
54,23,18071.397443188423
30,39,23441.628210860876
27,4,16140.393839488364
37,25,25343.62324389487
50,24,23961.781123737564
24,2,13503.424394233283
41,2,10269.624642747345
57,17,19699.482589445503
40,39,29179.714848781216
47,12,19448.56927027851
24,20,21036.84876986922
40,25,20654.981703543832
41,16,16554.02504526451
53,6,3554.1042928680754
28,27,21151.377714482012
54,8,15770.807068032791
39,30,25669.236345359095
22,26,18449.622242243015
32,38,31447.860405613537
49,17,18100.00742498475
46,6,13206.940585627566
44,22,17523.5027320126
52,36,25731.42694436436
51,4,3316.406681260967
56,0,12206.23086906057
28,9,9535.968558538427
37,10,8253.867266939003
47,26,20638.887510206543
23,14,9942.347985799475
22,0,-1361.9897896020539
33,37,22468.33558952419
26,21,18663.787218192814
58,14,12347.534346232216
53,30,26249.559859703382
30,21,13194.255484112715
56,16,15707.931676561686
40,2,13053.608271798714
37,12,13543.384545420673
24,20,12367.364015123687
41,32,23138.532817566767
45,10,15730.284822432588
54,30,25676.133395424786
45,26,8981.54543458975
32,32,17045.4871112067
29,32,21485.39119150188
57,23,25341.01262665836
59,22,25788.574937701902
41,34,18990.293171238918
56,25,13588.454205032976
46,13,12516.69607049738
56,19,13284.287476166048
46,22,21089.06311857529
50,34,24999.046369986037
39,4,19412.144166589896
39,34,21130.269002333425
23,14,21261.63994600656
56,10,17553.15259599669
37,37,26230.547324293027
57,9,8011.295071962128
54,11,19972.3669359082
25,2,3848.168186503266
54,23,22418.916743278147
35,26,19597.55580005851
42,29,25350.84635666173
41,4,8925.21040644302
29,25,25919.244924052786
28,2,2346.868873865563
24,10,12050.840505559923
38,5,10656.50053465896
54,8,4715.203955980919
33,7,18609.293499091742
43,23,14284.415135535077
43,18,8619.416902302612
51,23,28322.075730154003
59,33,24820.771171603803
59,20,8026.878293723972
29,12,20918.12823646894
48,25,23387.10823309535
48,37,28701.42011133636
55,38,19542.71457229279
42,8,6687.342717772612
51,13,10449.550854118035
54,24,17719.36336479461
49,25,20567.51608054809
54,33,19504.772084080865
26,5,12178.02338501865
40,5,5241.426587180846
25,5,-2800.706167129847
56,33,30689.841387521574
38,13,17965.89452797157
49,31,24271.225004804648
51,25,23955.152215742724
50,4,13012.834903323514
27,22,16388.646739976357
56,12,6840.425680027872
58,30,26889.802829224893
45,22,24844.582951719647
50,14,16318.643604675546
52,26,15064.98992006811
56,8,23129.058171163408
54,1,3194.8209391288065
42,37,19832.11079182854
53,31,26898.74690169751
44,27,19843.630197533854
54,19,15258.444637949771
24,25,15911.02043190015
39,12,13007.020629904908
46,18,19483.915692837283
52,37,38161.4344327719
24,18,20700.850874512493
45,26,23701.645598420968
53,31,20512.391626277826
43,30,13684.394262434824
44,38,33025.43020604492
23,39,16511.29917915532
48,15,19647.0597068419
23,6,10806.518073601255
47,12,11893.322309838442
38,0,1971.9491318540277
54,22,13493.927487712746
30,33,14094.699665942471
50,31,28362.457238789317
47,12,21340.386300416612
56,5,15859.393919122802
46,32,28236.75806140239
45,32,25238.339435700902
34,3,4538.519946877574
28,24,12557.35743863324
57,12,14948.78097919385
41,26,24014.883697456044
22,3,5607.973228444665
29,30,24068.256393383013
37,8,13738.719890436245
35,39,24626.20548128747
33,18,17032.32728187603
44,21,17210.028047893495
36,31,24865.17673746464
49,7,9721.592261355054
55,29,16860.551810846715
23,35,19851.698680211135
53,16,23126.032105795883
44,10,12744.730471773271
43,1,553.9425589010843
46,1,5890.838990725829
43,2,13677.844173652931
43,39,35058.689331059
27,39,29602.83641638619
36,24,15769.705927129005
58,10,15595.471371392934
54,13,19284.423445284978
29,20,14994.68459175382
26,5,13512.665527936915
25,24,17024.33230226314
27,17,10411.595921739567
53,14,17354.060547411846
51,2,16047.392064209595
56,36,36956.180903519926
37,1,8648.182180395781
34,34,24437.431787798123
51,13,14513.555628365631
40,17,6693.537228166702
38,15,17121.221001031518
40,2,5933.509913717853
49,33,32721.05254805282
47,37,26451.45193623297
58,15,14525.250586269483
47,30,30602.898561906244
44,35,29280.84530439998
30,35,26721.43091265624
33,11,16058.752561650059
22,8,10446.313586370814
22,27,26037.472886760475
55,17,12744.248480730825
53,23,17640.036098660254
46,1,9783.989091829928
22,17,13842.122012593722
37,36,19672.314556384856
26,8,9720.341919105713
43,31,22426.857918434853
50,3,9305.09346017099
24,16,5554.003010601107
33,39,19242.886886591237
47,4,7072.861751853767
37,27,27510.88024879716
58,28,25290.615617155694
43,2,15404.414121357548
50,38,29845.09161363968
35,17,21876.778810053922
49,36,23619.253121009635
26,30,23873.40720260419
51,5,5536.714493515404
26,15,19060.94885696593
33,18,13838.264035598317
37,13,16012.861632832522
47,38,31332.04541562751
47,11,12193.795962113247
42,32,25211.822581141092
57,6,11987.336904017853
54,34,25765.374245570303
51,27,22701.222539031303
58,22,23915.867343296
44,21,20354.302559571086
31,4,-527.5509628791206
26,4,10013.611675549524
57,4,13501.4067402759
55,39,40836.65018043917
52,25,17390.593666584995
31,30,27345.68440952048
40,10,7349.228088959025
53,6,17802.34142555018
22,25,12846.364278025208
26,2,8135.168154583558
25,1,5833.075302639812
37,29,19778.658152539105
45,21,19683.25842630437
37,38,28534.564022333107
23,30,9728.676908225965
49,33,22013.413616892616
53,26,24611.512738874873
48,4,10883.68450913787
41,17,12777.583836200058
45,35,27381.91203054497
33,21,19996.903786684834
56,28,24632.070489684185
54,21,16803.287109767
54,39,29687.312135581687
58,34,28497.54552926524
33,1,4816.208478355079
24,29,24672.836715031655
22,13,10396.691993776407
54,13,20929.310416840115
31,0,-4614.568952520813
50,12,13666.487323626974
34,37,31491.594561795504
